ra,dec,u,g,r,i,z,run,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
183.5313257,0.08969303,19.47406,17.0424,15.94699,15.503420000000002,15.22531,752.0,4,267,3.72e+18,STAR,-8.96e-06,3306,54922,491
183.59837050000002,0.135285032,18.6628,17.214489999999998,16.676370000000002,16.544191309523825,16.3915,752.0,4,267,3.64e+17,STAR,-5.489999999999999e-05,323,51615,541
183.6802074,0.126185092,19.38298,18.191689999999998,17.47428,17.087320000000002,16.80125,752.0,4,268,3.23e+17,GALAXY,0.1231112,287,52023,513
183.8705294,0.049910685,17.76536,16.60272,16.16116,15.98233,15.904379999999998,752.0,4,269,3.72e+18,STAR,-0.000110616,3306,54922,510
183.8832883,0.10255675199999999,17.55025,16.26342,16.43869,16.544191309523825,16.61326,752.0,4,269,3.72e+18,STAR,0.000590357,3306,54922,512
183.8471736,0.17369416399999998,19.43133,18.46779,18.16451,18.01475,18.04155,752.0,4,269,3.65e+17,STAR,0.000314603,324,51666,594
183.864379,0.019200711000000002,19.38322,17.88995,17.10537,16.66393,16.36955,752.0,4,269,3.23e+17,GALAXY,0.1002423,287,52023,559
183.9000814,0.18747329699999998,18.97993,17.84496,17.38022,17.20673,17.070710000000002,752.0,4,269,3.72e+18,STAR,0.000314848,3306,54922,515
183.9245885,0.09724578199999999,17.90616,16.97172,16.67541,16.544191309523825,16.47596,752.0,4,270,3.64e+17,STAR,8.909999999999998e-05,323,51615,595
183.9734977,0.081625582,18.67249,17.71375,17.49362,17.28284,17.22644,752.0,4,270,3.24e+17,GALAXY,0.04050813,288,52000,400
183.9791945,0.135997822,19.29772,17.80227,17.182660000000002,16.92335,16.79928,752.0,4,270,3.72e+18,STAR,-3.46e-05,3306,54922,506
184.0853311,0.11211002199999999,18.833070000000003,17.51785,16.942729999999997,16.71418,16.60521,752.0,4,271,3.72e+18,STAR,0.000622774,3306,54922,547
184.10209790000002,0.191510916,19.5625,18.191129999999998,17.65759,17.47573,17.39203,752.0,4,271,3.72e+18,STAR,5.47e-05,3306,54922,544
184.1605102,0.07564531299999999,19.5799,17.72815,16.9874,16.68076,16.504260000000002,752.0,4,271,3.72e+18,STAR,8.3e-06,3306,54922,546
184.1895738,0.099482468,19.25667,17.54869,16.63578,16.14922,15.76639,752.0,4,271,3.24e+17,GALAXY,0.07208736,288,52000,389
184.3506466,0.207229523,18.73832,18.60962,18.39696,18.31174,17.97663,752.0,4,272,3.23e+17,QSO,0.27193690000000004,287,52023,587
184.2217972,0.046955181,19.05958,18.09512,17.92766,16.544191309523825,17.90772,752.0,4,272,3.65e+17,STAR,0.000209974,324,51666,35
184.24566430000002,0.198257077,19.221429999999998,19.30248,19.13823,19.11351,19.23454,752.0,4,272,3.23e+17,QSO,1.1780979999999999,287,52023,583
184.3888696,0.068287428,19.04397,17.51106,16.87335,16.61114,16.48303,752.0,4,273,3.64e+17,STAR,0.000240098,323,51615,628
184.3809191,0.17432277,17.81661,16.86976,16.53884,16.19576,16.086679999999998,752.0,4,273,3.23e+17,GALAXY,0.07277206,287,52023,632
184.4668531,0.11196532099999999,19.3932,18.48274,18.16551,18.05122,18.04328,752.0,4,273,3.65e+17,STAR,-0.00027021799999999997,324,51666,623
184.5694109,0.137091485,17.51339,16.41793,16.06695,15.937510000000001,15.894779999999999,752.0,4,274,3.24e+17,STAR,-3.5499999999999996e-05,288,52000,430
184.65417030000003,0.12267344599999999,19.07731,18.64518,18.496779999999998,18.526770000000003,18.45765,752.0,4,274,3.24e+17,QSO,0.9251733,288,52000,421
184.6587955,0.159935507,18.63032,17.234370000000002,16.72749,16.51772,16.44039,752.0,4,274,2.88e+18,STAR,4.31e-06,2558,54140,356
